0.787587,0.698506,0.687395,0.376470,0.958468,0.696431,0.376470,0.958468,0.690590,0.674957,0.526455,0.614053
0.698549,0.631035,0.564354,0.196067,0.947808,0.541510,0.196067,0.947808,0.519261,0.559593,0.505871,0.612664
0.677257,0.611814,0.533394,0.062128,0.943808,0.498822,0.062128,0.943808,0.460019,0.529841,0.502888,0.612644
0.663041,0.587059,0.508292,0.039282,0.935501,0.465073,0.039282,0.935501,0.434979,0.494457,0.501347,0.612634
0.648335,0.514078,0.481656,0.030729,0.893079,0.425555,0.030729,0.893079,0.405866,0.394199,0.471984,0.612585
0.784007,0.679739,0.675267,0.371355,0.958744,0.676059,0.371355,0.958744,0.669485,0.639363,0.515703,0.617244
0.684992,0.621571,0.532774,0.210651,0.947789,0.505816,0.210651,0.947789,0.479066,0.541742,0.500997,0.612664
0.669652,0.603053,0.511478,0.033244,0.944056,0.462681,0.033244,0.944056,0.435929,0.517865,0.499904,0.612644
0.656976,0.576073,0.492565,0.031827,0.935890,0.436864,0.031827,0.935890,0.418291,0.486149,0.499815,0.612634
0.643179,0.513750,0.467586,0.030729,0.896917,0.409869,0.030729,0.896917,0.398564,0.383962,0.445600,0.612585
0.785016,0.686750,0.678284,0.372726,0.958579,0.681596,0.372726,0.958579,0.675983,0.653686,0.516811,0.614427
0.686999,0.625429,0.539890,0.230396,0.947839,0.514226,0.230396,0.947839,0.484323,0.544786,0.502390,0.612664
0.670854,0.606473,0.515376,0.036734,0.944096,0.473613,0.036734,0.944096,0.438104,0.520166,0.500199,0.612644
0.658370,0.578352,0.496368,0.033322,0.935973,0.441780,0.033322,0.935973,0.420720,0.488058,0.499914,0.612634
0.644720,0.516929,0.472080,0.030729,0.896140,0.413445,0.030729,0.896140,0.400792,0.390726,0.462753,0.612585
